Country Name;Country Code;2019;2020;2021;2022;2023
Argentina;ARG;1492100000000.0;509000000000.0;278100000000.0;735000000000.0;1361300000000.0
Brazil;BRA;896100000000.0;2279500000000.0;1978400000000.0;1322700000000.0;1234500000000.0
United States;USA;2164700000000.0;627700000000.0;632300000000.0;1705900000000.0;1531200000000.0
China;CHN;8600000000.0;149100000000.0;1204200000000.0;2200000000000.0;959200000000.0
India;IND;826100000000.0;1537000000000.0;2098200000000.0;2001300000000.0;1486400000000.0
Germany;DEU;1740500000000.0;1451500000000.0;1356700000000.0;1823800000000.0;418500000000.0
France;FRA;602000000000.0;640200000000.0;1836300000000.0;2447700000000.0;1799200000000.0
United Kingdom;GBR;2299700000000.0;1399400000000.0;792800000000.0;1191400000000.0;2180100000000.0
Italy;ITA;755900000000.0;2445200000000.0;702800000000.0;1006100000000.0;1090600000000.0
Spain;ESP;376300000000.0;496300000000.0;566500000000.0;667900000000.0;728100000000.0
Canada;CAN;1941300000000.0;2408800000000.0;2235900000000.0;1236300000000.0;1531200000000.0
Mexico;MEX;1946100000000.0;2089600000000.0;906200000000.0;1669100000000.0;1485600000000.0
Japan;JPN;325700000000.0;1787700000000.0;881800000000.0;470100000000.0;1251600000000.0
South Korea;KOR;64800000000.0;536100000000.0;693800000000.0;1340500000000.0;1757100000000.0
Australia;AUS;1876400000000.0;2487300000000.0;72700000000.0;1659900000000.0;130700000000.0
Russia;RUS;1325800000000.0;257000000000.0;1585200000000.0;954100000000.0;1947200000000.0
South Africa;ZAF;1842200000000.0;1737900000000.0;184300000000.0;1374900000000.0;1998000000000.0
Egypt;EGY;2213200000000.0;1049800000000.0;1571800000000.0;1112800000000.0;1662000000000.0
Nigeria;NGA;459400000000.0;2369500000000.0;1468300000000.0;2263100000000.0;1194100000000.0
Kenya;KEN;294600000000.0;11500000000.0;1570700000000.0;668100000000.0;1249500000000.0
Chile;CHL;106900000000.0;248400000000.0;402800000000.0;439000000000.0;1342200000000.0
Colombia;COL;481000000000.0;1329400000000.0;28600000000.0;658400000000.0;1777200000000.0
Peru;PER;1757800000000.0;2416400000000.0;552600000000.0;1028800000000.0;74200000000.0
Venezuela;VEN;1324600000000.0;2230500000000.0;2440000000000.0;2165600000000.0;1683800000000.0
Ecuador;ECU;1933400000000.0;253900000000.0;1661100000000.0;317300000000.0;2033900000000.0
Bolivia;BOL;858000000000.0;2489100000000.0;1546400000000.0;733600000000.0;2108100000000.0
Paraguay;PRY;1604000000000.0;1303300000000.0;1776100000000.0;2414100000000.0;1302600000000.0
Uruguay;URY;601900000000.0;617000000000.0;770900000000.0;1929800000000.0;21700000000.0
Saudi Arabia;SAU;2429700000000.0;1486200000000.0;247900000000.0;352200000000.0;1330200000000.0
United Arab Emirates;ARE;2214000000000.0;580700000000.0;1905100000000.0;753600000000.0;1879000000000.0
Turkey;TUR;244600000000.0;1551100000000.0;2032700000000.0;1349300000000.0;252500000000.0
Iran;IRN;2012500000000.0;157700000000.0;1757200000000.0;1954900000000.0;2107100000000.0
Pakistan;PAK;2432200000000.0;1778600000000.0;1720500000000.0;169400000000.0;2257500000000.0
Bangladesh;BGD;1487300000000.0;731000000000.0;689300000000.0;2111900000000.0;1234000000000.0
Indonesia;IDN;1503400000000.0;2486400000000.0;870200000000.0;1330500000000.0;955600000000.0
Thailand;THA;1011400000000.0;2381700000000.0;447600000000.0;1614300000000.0;1469800000000.0
Vietnam;VNM;53300000000.0;180800000000.0;1018700000000.0;1107900000000.0;1814800000000.0
Philippines;PHL;413700000000.0;944500000000.0;2465500000000.0;1853000000000.0;1997100000000.0
Malaysia;MYS;1400900000000.0;394800000000.0;1696900000000.0;1333100000000.0;705400000000.0
Singapore;SGP;365100000000.0;1752100000000.0;1950000000000.0;910800000000.0;521000000000.0
Sweden;SWE;2296000000000.0;588200000000.0;782800000000.0;1316100000000.0;1692700000000.0
Norway;NOR;825200000000.0;393500000000.0;199200000000.0;1422300000000.0;1394500000000.0
Denmark;DNK;1230300000000.0;265600000000.0;1491300000000.0;2127700000000.0;645200000000.0
Finland;FIN;549700000000.0;1230000000000.0;1856500000000.0;680300000000.0;2243000000000.0
Poland;POL;203100000000.0;2322400000000.0;2116300000000.0;1494800000000.0;1479800000000.0
Czech Republic;CZE;1820100000000.0;1978400000000.0;344300000000.0;172700000000.0;1176500000000.0
Hungary;HUN;2118500000000.0;1562700000000.0;2447900000000.0;2110900000000.0;1707900000000.0
Greece;GRC;733700000000.0;354400000000.0;564900000000.0;305200000000.0;1391700000000.0
Portugal;PRT;113800000000.0;1863200000000.0;1225700000000.0;42900000000.0;2257800000000.0
Netherlands;NLD;998100000000.0;2374600000000.0;2095300000000.0;1860600000000.0;1628000000000.0
World;WLD;58575700000000.0;64516700000000.0;61721300000000.0;63911700000000.0;69480900000000.0
